         82855265 function calls (80522673 primitive calls) in 312.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000   11.709    2.342 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:187(set_sections)
        2    0.000    0.000    9.975    4.987 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:336(run)
     6043    0.389    0.000    9.687    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:763(mouseMoveEvent)
        2    0.000    0.000    9.158    4.579 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\error_handling.py:259(format_exception_with_variables)
      168    0.000    0.000    8.843    0.053 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:157(_get_cached_or_load)
      431    0.005    0.000    8.687    0.020 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:444(__init__)
     3352    1.613    0.000    8.112    0.002 {built-in method repaint}
     3352    0.250    0.000    7.957    0.002 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:209(_loop)
  2562671    1.796    0.000    7.798    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:163(__repr__)
    65615    0.041    0.000    7.771    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:120(__hash__)
16659/5339    0.303    0.000    7.433    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:81(wrapper)
    81259    0.422    0.000    6.770    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:80(__init__)
     1711    2.653    0.002    6.602    0.004 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:526(paintEvent)
    66319    0.435    0.000    5.601    0.000 {built-in method builtins.repr}
        1    0.004    0.004    5.063    5.063 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1536(_get_modules_list)
     5102    0.044    0.000    5.030    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:377(on_mouse_moved)
